@relation '228046_2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N2:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry,splacona:dobry1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly,windykacja:zly1,windykacja_sp:zly2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1-3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6'

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {M,K}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
16,634.64,1,300,'\'(55.2-67.6]\'',K,133,48,dobry
13,1014,0,300,'\'(55.2-67.6]\'',K,180,48,dobry
11,1493.98,1,200,'\'(42.8-55.2]\'',K,358,48,dobry
12,1032,2,300,'\'(42.8-55.2]\'',K,40,5,dobry
17,646,0,380.59,'\'(30.4-42.8]\'',K,54,48,zly
11,2100,1,820.86,'\'(30.4-42.8]\'',M,281,48,dobry
13,782,0,356.29,'\'(55.2-67.6]\'',K,189,48,zly
13,580,2,800,'\'(55.2-67.6]\'',K,116,48,dobry
12,599.03,1,200,'\'(30.4-42.8]\'',K,18,2,dobry
13,634.64,0,400,'\'(55.2-67.6]\'',K,254,48,zly
13,889.38,0,400,'\'(55.2-67.6]\'',M,5,48,zly
12,5000,0,700,'\'(30.4-42.8]\'',M,6,3,zly
13,1000,1,300,'\'(67.6-inf)\'',K,61,48,dobry
13,720.08,0,450,'\'(67.6-inf)\'',K,239,48,zly
13,3440,2,800,'\'(42.8-55.2]\'',K,48,48,dobry
11,718.57,0,200,'\'(30.4-42.8]\'',K,78,48,zly
11,800.51,1,400,'\'(30.4-42.8]\'',K,17,48,dobry
11,1133.37,0,200,'\'(42.8-55.2]\'',K,389,48,zly
12,1520.01,0,500,'\'(30.4-42.8]\'',K,67,48,zly
11,2200,2,499.98,'\'(30.4-42.8]\'',M,82,48,dobry
11,2500,1,600,'\'(42.8-55.2]\'',K,230,48,dobry
12,1300,2,600,'\'(-inf-30.4]\'',M,41,17,dobry
17,798.8,2,300,'\'(42.8-55.2]\'',M,150,48,dobry
12,1038,0,500,'\'(42.8-55.2]\'',M,47,17,zly
16,799.4,0,300,'\'(55.2-67.6]\'',K,126,48,zly
16,1473.04,1,400,'\'(55.2-67.6]\'',M,162,48,dobry
12,670.8,0,300,'\'(42.8-55.2]\'',M,8,5,zly
11,1250,2,500,'\'(55.2-67.6]\'',M,62,48,dobry
13,750,0,300,'\'(55.2-67.6]\'',K,28,48,dobry
13,2110,2,300,'\'(55.2-67.6]\'',M,98,48,dobry
13,930,1,400,'\'(55.2-67.6]\'',K,29,48,zly
12,1000,2,231.22,'\'(42.8-55.2]\'',M,39,29,zly
13,1658,2,300,'\'(55.2-67.6]\'',K,26,48,dobry
16,749.28,2,200,'\'(42.8-55.2]\'',K,62,48,dobry
13,1016,0,250,'\'(67.6-inf)\'',K,186,48,dobry
11,3200,2,600,'\'(42.8-55.2]\'',K,51,48,dobry
11,3100,2,500,'\'(30.4-42.8]\'',K,118,48,dobry
11,2700,2,400,'\'(30.4-42.8]\'',K,118,48,dobry
11,2947,2,393.99,'\'(55.2-67.6]\'',M,50,48,dobry
12,1027.22,0,300,'\'(-inf-30.4]\'',M,3,2,zly
